name,cei_2021,cei_2020
3M Co.,100,100
A|X Armani Exchange,50,50
ABB Inc.,90,
Abbott Laboratories,95,90
AbbVie Inc.,100,100
Abercrombie & Fitch Co.,100,100
ABM Industries Inc.,20,20
Accenture,100,100
Activision Blizzard,100,100
Adaptive Biotechnologies Corporation,75,
Adidas North America Inc.,100,100
Adobe Inc.,100,100
ADP,100,100
Advance Auto Parts (Advance Holding),90,90
Advanced Micro Devices Inc.,100,100
AECOM,100,100
"AES Corp., The",85,85
Aflac Inc.,85,70
Agco,10,10
Agilent Technologies Inc.,85,75
AIG,100,100
"Air Liquide US, LLC",100,100
Air Products & Chemicals Inc.,100,100
Airbnb Inc.,100,100
Airbus Americas Inc.,100,100
Airlines Reporting Corporation (ARC),100,85
AK Steel Holding Corp.,20,20
Akamai Technologies Inc.,100,100
Akerman LLP,100,100
"Akin, Gump, Strauss, Hauer & Feld LLP",100,100
Alaska Airlines,90,90
Albertsons Companies Inc.,80,75
Alcoa Corp.,95,95
Alcon Inc,95,90
Alight Solutions,100,100
AlixPartners LLP,100,100
Alleghany Corp.,0,20
Alliance Data Systems Corp.,80,65
AllianceBernstein LP,100,100
Alliant Energy Corp.,100,100
Allianz Life Insurance Co. of North America,100,100
Allstate Insurance Co.,95,95
Ally Financial Inc.,100,100
Alston & Bird LLP,100,100
Altice USA Inc.,100,100
Altria Group Inc.,100,100
Amalgamated Bank,100,80
A-Mark Precious Metals,0,0
Amazon.com Inc.,100,100
AMC Entertainment Inc.,100,100
Ameren Corp.,100,100
American Airlines,100,100
American Apparel LLC,70,70
American Axle & Manufacturing,20,20
American Eagle Outfitters Inc.,80,90
American Electric Power Co. Inc.,100,100
American Express Company,100,100
American Express Global Business Travel,100,100
"American Family Mutual Insurance Company, S.I",100,100
American Financial Group,20,20
American Greetings Corp.,90,60
American Honda Motor Co.,85,85
American Tower Corp.,95,85
American Water,85,
Ameriprise Financial Inc.,90,90
AmerisourceBergen Corp.,100,100
Amgen Inc.,100,100
AMN Healthcare Services Inc.,95,95
Amphenol Corp.,20,20
Analog Devices Inc.,20,
Andersen Corp.,85,60
"Andersons Inc., The",20,
Anheuser-Busch Companies Inc.,100,100
"Anschutz Entertainment Group, Inc.",100,100
Anthem Inc.,100,100
Aon plc,100,100
Apache Corp.,20,50
Apollo Global Management Inc.,100,
Appian Corporation,65,
Apple Inc.,100,100
Applied Materials Inc.,100,100
AQR Capital Management LLC,100,100
Aramark Corp.,100,100
Arcadis U.S. Inc.,100,95
Archer Daniels Midland Co.,90,70
Arconic,100,100
Arent Fox LLP,100,100
Ares Management LLC,100,
Armstrong Teasdale LLP,100,100
Arnold & Porter Kaye Scholer LLP,100,100
Arrow Electronics,100,100
Arthur J. Gallagher & Co.,100,100
Arup USA Inc,100,90
Asbury Automotive Group,20,20
Ascena Retail Group Inc.,100,90
Ashland Inc.,40,40
Assurant,100,100
Astellas Pharma US Inc.,100,100
AstraZeneca PLC,100,100
Asurion LLC,100,100
AT&T Inc.,100,100
AthenaHealth Inc.,90,90
Athene Holding Ltd.,80,
Atlassian,100,100
"Auto Club Group, The",75,60
Autodesk Inc.,100,100
Autoliv Inc.,20,20
AutoNation Inc.,0,
Auto-Owners Insurance Group,0,0
AutoZone Inc.,60,40
Avaya Inc.,65,60
Avery Dennison,90,85
Avient Corporation,100,100
Avis Budget Group Inc.,95,95
Avita Pharmacy,100,
Avnet Inc.,90,80
Avon Products Inc.,80,80
AXA Equitable Life,100,100
Axiom Global Inc.,100,100
BAE Systems Inc.,100,100
